"date","borough","direction","main_street","cross_street","type","truck_route","struck_overpass","state_of_operators_license","bin","latitude","longitude","geocoded_column"
"2020-02-24T00:00:00.000","QUEENS","E/B","JACKIE ROBINSON PARKWAY","CYPRESS HILLS STREET","STRIKE","NO","YES","NC","2230040","40.692128","-73.882525","POINT (-73.882525 40.692128)"
"2014-09-12T00:00:00.000","MANHATTAN","S/B","FDR DRIVE","EAST 90th STREET","STRIKE","NO","YES","CA","2232167","40.777492","-73.942847","POINT (-73.942847 40.777492)"
"2017-08-18T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","SHELL ROAD","STRIKE","NO","YES","CA","7233000","40.582824","-73.974480","POINT (-73.97448 40.582824)"
"2019-08-15T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","17th AVENUE","STRIKE","NO","YES","N/A","2231290","40.601674","-74.011772","POINT (-74.011772 40.601674)"
"2016-08-09T00:00:00.000","QUEENS","W/B","QUEENSBORO BRIDGE","UPPER LEVEL","STRIKE","YES","YES","N/A","224004F","40.756907","-73.954448","POINT (-73.954448 40.756907)"
"2019-11-12T00:00:00.000","QUEENS","E/B","SOUTHERN STATE PARKWAY","CROSS ISLAND PARKWAY","STRIKE","NO","YES","FL","2266770","40.687191","-73.724985","POINT (-73.724985 40.687191)"
"2014-11-03T00:00:00.000","BRONX","N/B","BRONX RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","TN","7067078","40.829868","-73.873192","POINT (-73.873192 40.829868)"
"2016-02-09T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","CA","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2014-04-28T00:00:00.000","QUEENS","E/B","BELT PARKWAY","GUY R BREWER BOULEVARD","STRIKE","NO","YES","PA","2231610","40.667348","-73.771136","POINT (-73.771136 40.667348)"
"2020-11-09T00:00:00.000","QUEENS","E/B","BELT PARKWAY","225th STREET","STRIKE","NO","YES","TX","2231640","40.665896","-73.752027","POINT (-73.752027 40.665896)"
"2015-08-30T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2020-09-01T00:00:00.000","BRONX","N/B","HENRY HUDSON PARKWAY","WEST 239th STREET","STRIKE","NO","YES","GA","2229470","40.889358","-73.908774","POINT (-73.908774 40.889358)"
"2021-11-22T00:00:00.000","MANHATTAN","S/B","FDR DRIVE","EAST 90th STREET","STRIKE","NO","YES","N/A","2232167","40.777492","-73.942847","POINT (-73.942847 40.777492)"
"2022-01-25T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","NY","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2019-09-09T00:00:00.000","BRONX","N/B","BRONX RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","7067078","40.829899","-73.873194","POINT (-73.873194 40.829899)"
"2021-07-21T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","17th AVENUE","STRIKE","NO","YES","DE","2231290","40.601674","-74.011772","POINT (-74.011772 40.601674)"
"2020-07-18T00:00:00.000","BRONX","N/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","PA","2075837","40.842945","-73.837598","POINT (-73.837598 40.842945)"
"2021-07-18T00:00:00.000","BRONX","N/B","HENRY HUDSON PARKWAY","WEST 252nd STREET","STRIKE","NO","YES","TX","2229500","40.899333","-73.907194","POINT (-73.907194 40.899333)"
"2019-11-18T00:00:00.000","MANHATTAN","S/B","FDR DRIVE","EAST 90th STREET","STRIKE","NO","YES","NJ","2232167","40.777492","-73.942847","POINT (-73.942847 40.777492)"
"2021-03-01T00:00:00.000","QUEENS","N/B","CROSS ISLAND PARKWAY","LINDEN BOULEVARD","STRIKE","NO","YES","MA","2231750","40.690743","-73.726780","POINT (-73.72678 40.690743)"
"2022-01-07T00:00:00.000","QUEENS","E/B","BELT PARKWAY","BROOKVILLE BOULEVARD","STRIKE","NO","YES","FL",,"40.667610","-73.737391","POINT (-73.737391 40.66761)"
"2015-12-08T00:00:00.000","QUEENS","E/B","BELT PARKWAY","FARMERS BOULEVARD","STRIKE","NO","YES","OH","2231620","40.666941","-73.767092","POINT (-73.767092 40.666941)"
"2022-04-18T00:00:00.000","MANHATTAN","N/B","FDR DRIVE","EAST 62nd STREET","STRIKE","NO","YES","CA","2233038","40.760101","-73.957308","POINT (-73.957308 40.760101)"
"2014-07-05T00:00:00.000","BRONX","N/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","FL","2075837","40.842936","-73.837610","POINT (-73.83761 40.842936)"
"2021-06-01T00:00:00.000","BRONX","N/B","BRONX RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","OH","7067078","40.829899","-73.873194","POINT (-73.873194 40.829899)"
"2018-08-08T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","CT","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
