"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_kwh","kwh_charges","consumption_kw","kw_charges","other_charges"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 32","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2789968","N","3902.98","GOV/NYC/068","Yes","37000","1866.99","0","0","2035.99"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 09","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2789985","N","3291.16","GOV/NYC/068","Yes","31200","1574.33","0","0","1716.83"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 06","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2789993","N","2481.03","GOV/NYC/068","Yes","23520","1186.8","0","0","1294.23"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 11","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790004","N","2320.7","GOV/NYC/068","Yes","22000","1110.11","0","0","1210.59"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 20","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790009","N","3392.43","GOV/NYC/068","Yes","32160","1622.77","0","0","1769.66"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 28","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790014","N","3409.31","GOV/NYC/068","Yes","32320","1630.85","0","0","1778.46"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 07","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790017","N","2244.74","GOV/NYC/068","Yes","21280","1073.77","0","0","1170.97"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 27","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790026","N","3561.21","GOV/NYC/068","Yes","33760","1703.51","0","0","1857.7"
"SAMUEL (CITY)","MANHATTAN","SAMUEL (CITY)","BLD 17","NONE",,"377","650","M037700","MIXED FINANCE/LLC1","NY005023770P","NEW YORK POWER AUTHORITY","12243309","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","13185032","N","1211.21","GOV/NYC/062","Yes","3528","276.77","0","0","934.44"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 15","AMR",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787890","N","1755.66","GOV/NYC/068","Yes","15920","831.98","0","0","923.68"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 05","AMR",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787481","N","3908.34","GOV/NYC/068","Yes","35440","1852.09","0","0","2056.25"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 06","AMR",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786937","N","5963.99","GOV/NYC/068","Yes","54080","2826.22","0","0","3137.77"
"HUNTS POINT AVENUE REHAB","BRONX","HUNTS POINT AVENUE REHAB","BLD 13","NONE",,"367","806","B036700","FEDERAL","NY005015300P","NEW YORK POWER AUTHORITY","12243069","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9986746","N","520.27","GOV/NYC/069","Yes","4360","228.42","6.4","68.67","223.18"
"HUNTS POINT AVENUE REHAB","BRONX","HUNTS POINT AVENUE REHAB","BLD 07","NONE",,"367","806","B036700","FEDERAL","NY005015300P","NEW YORK POWER AUTHORITY","12243067","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","690878","N","1446.67","GOV/NYC/062","Yes","4482","351.61","0","0","1095.06"
"ROOSEVELT I","BROOKLYN","ROOSEVELT I","BLD 06","NONE",,"135","227","K013500","FEDERAL","NY005011350P","NEW YORK POWER AUTHORITY","12243650","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2781356","N","12301.14","GOV/NYC/068","Yes","82000","4285.32","142","1562","6453.82"
"FIORENTINO PLAZA","BROOKLYN","FIORENTINO PLAZA","BLD 07","NONE",,"207","375","K020700","FEDERAL","NY005012610P","NEW YORK POWER AUTHORITY","12243702","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","7922972","N","824.25","GOV/NYC/068","Exception","2960","154.69","12.8","140.8","528.76"
"BOYNTON AVENUE REHAB","BRONX","BOYNTON AVENUE REHAB","BLD 02","NONE","BLD 02","346","767","B034600","FEDERAL","NY005010320P","NEW YORK POWER AUTHORITY","12243094","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","14324681","N","991.74","GOV/NYC/062","Yes","3132","245.71","0","0","746.03"
"HUNTS POINT AVENUE REHAB","BRONX","HUNTS POINT AVENUE REHAB","BLD 02","AMR",,"367","806","B036700","FEDERAL","NY005015300P","NEW YORK POWER AUTHORITY","12243065","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","14324690","N","1422.72","GOV/NYC/062","Yes","4392","344.55","0","0","1078.17"
"FHA REPOSSESSED HOUSES (GROUP VI)","FHA","FHA REPOSSESSED HOUSES (GROUP VI)","116-31 FARMERS BOULEVARD","NONE","NA","273","395","Q027300","FEDERAL","NY005012090P","NEW YORK POWER AUTHORITY","12242822","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","14471493","N","197.34","GOV/NYC/062","Exception","569","44.64","0","0","152.7"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 15","INTERVAL",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787890","N","738.61","GOV/NYC/068","Yes","0","0","31.82","350.02","388.59"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 05","INTERVAL",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787481","N","1351.43","GOV/NYC/068","Yes","0","0","58.22","640.42","711.01"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 01","AMR",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786912","N","3467.22","GOV/NYC/068","Yes","31440","1643.05","0","0","1824.17"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 06","INTERVAL",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786937","N","1842.85","GOV/NYC/068","Yes","0","0","79.39","873.29","969.56"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 03","INTERVAL",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786870","N","679.64","GOV/NYC/068","Yes","0","0","29.28","322.08","357.56"
"FHA REPOSSESSED HOUSES (GROUP IX)","FHA","FHA REPOSSESSED HOUSES (GROUP IX)","71 WAVERLY AVENUE","NONE",,"283","376","Q028300","FEDERAL","NY005012090P","NEW YORK POWER AUTHORITY","12243850","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4121686","N","115.62","GOV/NYC/062","Yes","336","26.36","0","0","89.26"
"EAST 173RD STREET-VYSE AVENUE","BRONX","EAST 173RD STREET-VYSE AVENUE","BLD 05","NONE",,"338","778","B033800","FEDERAL","NY005015300P","NEW YORK POWER AUTHORITY","12243117","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","14333820","N","401.79","GOV/NYC/062","Yes","1170","91.79","0","0","310"
"EAST 173RD STREET-VYSE AVENUE","BRONX","EAST 173RD STREET-VYSE AVENUE","BLD 05","NONE",,"338","778","B033800","FEDERAL","NY005015300P","NEW YORK POWER AUTHORITY","12242868","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2679659","N","136.72","GOV/NYC/062","Yes","540","42.36","0","0","94.36"
"HIGHBRIDGE GARDENS","BRONX","HIGHBRIDGE GARDENS","BLD 01","AMR",,"78","229","B007800","FEDERAL","NY005000780P","NEW YORK POWER AUTHORITY","12243050","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790134","N","6863.75","GOV/NYC/068","Yes","62200","3250.57","0","0","3613.18"
"EAST 165TH STREET-BRYANT AVENUE","BRONX","EAST 165TH STREET-BRYANT AVENUE","BLD 01","NONE",,"304","552","B030400","FEDERAL","NY005015300P","NEW YORK POWER AUTHORITY","12243123","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2762920","N","656.73","GOV/NYC/069","Yes","4986","261.22","6.66","71.46","324.05"
"HIGHBRIDGE GARDENS","BRONX","HIGHBRIDGE GARDENS","BLD 06","INTERVAL",,"78","229","B007800","FEDERAL","NY005000780P","NEW YORK POWER AUTHORITY","12243050","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1790153","N","2720.34","GOV/NYC/068","Yes","0","0","117.12","1288.32","1432.02"
"HIGHBRIDGE GARDENS","BRONX","HIGHBRIDGE GARDENS","BLD 02","AMR",,"78","229","B007800","FEDERAL","NY005000780P","NEW YORK POWER AUTHORITY","12243050","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790133","N","7503.78","GOV/NYC/068","Yes","68000","3553.68","0","0","3950.1"
"FHA REPOSSESSED HOUSES (GROUP IX)","FHA","FHA REPOSSESSED HOUSES (GROUP IX)","353 BERRIMAN ST","NONE",,"283","376","Q028300","FEDERAL","NY005012090P","NEW YORK POWER AUTHORITY","12243846","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4001255","N","33.18","GOV/NYC/062","Yes","97","7.61","0","0","25.57"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 27","INTERVAL",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1790026","N","618.56","GOV/NYC/068","Yes","0","0","52.22","618.56","0"
"HIGHBRIDGE GARDENS","BRONX","HIGHBRIDGE GARDENS","BLD 02","INTERVAL",,"78","229","B007800","FEDERAL","NY005000780P","NEW YORK POWER AUTHORITY","12243050","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1790133","N","2806.76","GOV/NYC/068","Yes","0","0","120.84","1329.24","1477.52"
"FHA REPOSSESSED HOUSES (GROUP IX)","FHA","FHA REPOSSESSED HOUSES (GROUP IX)","341 BERRIMAN STREET","NONE",,"283","376","Q028300","FEDERAL","NY005012090P","NEW YORK POWER AUTHORITY","12243845","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4173523","N","24.47","GOV/NYC/062","Yes","72","5.65","0","0","18.82"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 08","AMR",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790447","N","11042.64","GOV/NYC/068","Yes","102720","5183.23","0","0","5859.41"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 06","INTERVAL",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787704","N","1121.76","GOV/NYC/068","Yes","0","0","91.2","1121.76","0"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 03","INTERVAL",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787713","N","1075.75","GOV/NYC/068","Yes","0","0","87.46","1075.75","0"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 12","INTERVAL",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787716","N","996.54","GOV/NYC/068","Yes","0","0","81.02","996.54","0"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 04","AMR",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787711","N","5865.33","GOV/NYC/068","Yes","54560","2753.09","0","0","3112.24"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 09","AMR",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787705","N","5572.92","GOV/NYC/068","Yes","51840","2615.84","0","0","2957.08"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 07","AMR",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787717","N","5099.91","GOV/NYC/068","Yes","47440","2393.81","0","0","2706.1"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 12","AMR",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787716","N","5555.72","GOV/NYC/068","Yes","51680","2607.76","0","0","2947.96"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 10","INTERVAL",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786935","N","602.83","GOV/NYC/068","Yes","0","0","25.97","285.67","317.16"
"1010 EAST 178TH STREET","BRONX","EAST 178TH STREET","BLD 01","AMR",,"180","289","B018000","FEDERAL","NY005011330P","NEW YORK POWER AUTHORITY","12242887","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9424039","N","20551.42","GOV/NYC/068","Yes","125600","6563.86","200","2200","11787.56"
"SARATOGA VILLAGE","BROOKLYN","SARATOGA VILLAGE","BLD 01","NONE",,"158","274","K015800","FEDERAL","NY005011620P","NEW YORK POWER AUTHORITY","12243667","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4241902","N","10796.32","GOV/NYC/068","Yes","70400","3679.1","121.6","1337.6","5779.62"
"BUSHWICK II (GROUPS B & D)","BROOKLYN","BUSHWICK II (GROUPS B & D)","BLD 41","NONE",,"303","566","K030300","FEDERAL","NY005012470P","NEW YORK POWER AUTHORITY","12243762","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2821806","Y","346.89","GOV/NYC/062","Yes","3438","269.71","0","0","77.18"
"CLINTON","MANHATTAN","CLINTON","BLD 01","INTERVAL",,"123","245","M012300","FEDERAL","NY005001230P","NEW YORK POWER AUTHORITY","12243366","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1781243","N","13717.81","GOV/NYC/068","Yes","0","0","592.32","6515.52","7202.29"
"CLAREMONT REHAB (GROUP 5)","BRONX","CLAREMONT REHAB (GROUP 5)","BLD 02","NONE",,"336","752","B033600","FEDERAL","NY005013080P","NEW YORK POWER AUTHORITY","12243084","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4237242","N","1402.89","GOV/NYC/069","Yes","9360","490.37","17.6","188.85","723.67"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 13","INTERVAL",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787718","N","965.92","GOV/NYC/068","Yes","0","0","78.53","965.92","0"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 01","INTERVAL",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787703","N","1068.62","GOV/NYC/068","Yes","0","0","86.88","1068.62","0"
"CLINTON","MANHATTAN","CLINTON","BLD 01","AMR",,"123","245","M012300","FEDERAL","NY005001230P","NEW YORK POWER AUTHORITY","12243366","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2781243","N","39170.21","GOV/NYC/068","Yes","356000","18604.56","0","0","20565.65"
"FENIMORE-LEFFERTS","BROOKLYN","FENIMORE-LEFFERTS","BLD 02","NONE",,"205","322","K020500","FEDERAL","NY005011670P","NEW YORK POWER AUTHORITY","12243711","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3153746","N","86.89","GOV/NYC/062","Yes","252","19.77","0","0","67.12"
"PARK ROCK REHAB","BROOKLYN","PARK ROCK REHAB","BLD 02","AMR",,"351","765","K035100","FEDERAL","NY005013510P","NEW YORK POWER AUTHORITY","12243854","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4219414","N","1525.9","GOV/NYC/062","Yes","4482","351.61","0","0","1174.29"
"DREW-HAMILTON","MANHATTAN","DREW-HAMILTON","BLD 05","NONE",,"111","434","M011100","MIXED FINANCE/LLC1","NY005021110P","NEW YORK POWER AUTHORITY","12243298","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","11049775","N","23197.04","GOV/NYC/068","Yes","159200","8319.79","256","2816","12061.25"
"DREW-HAMILTON","MANHATTAN","DREW-HAMILTON","BLD 04","NONE",,"111","434","M011100","MIXED FINANCE/LLC1","NY005021110P","NEW YORK POWER AUTHORITY","12243297","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9424946","N","16967.82","GOV/NYC/068","Yes","112800","5894.93","188","2068","9004.89"
"#N/A","NON DEVELOPMENT FACILITY","NDF - PSA 9 SATELLITE, 21-09 35TH AVE","BLD 08","NONE",,,"999","1011900","NON-DEVELOPMENT","NDF","NEW YORK POWER AUTHORITY","12242791","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4499688","N","1200.86","GOV/NYC/069","Exception","7120","373.02","14.8","158.8","669.04"
"WILLIAMSBURG","BROOKLYN","WILLIAMSBURG","BLD 12","AMR",,"2","200","K000200","FEDERAL","NY005000020P","NEW YORK POWER AUTHORITY","12243471","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788581","N","4346.55","GOV/NYC/068","Yes","38720","2023.51","0","0","2323.04"
"#N/A","NON DEVELOPMENT FACILITY","NDF - PSA 5, 221 EAST 123 ST","BLD 05","NONE",,,"999","1011500","NON-DEVELOPMENT","NDF","NEW YORK POWER AUTHORITY","12243212","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787873","N","8591.92","GOV/NYC/069","Yes","58240","3051.19","97.6","1047.25","4493.48"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 29","INTERVAL",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789959","N","549.86","GOV/NYC/068","Yes","0","0","46.42","549.86","0"
"ADAMS","BRONX","ADAMS","BLD 06","NONE","BLD 06","118","248","B011800","FEDERAL","NY005001180P","NEW YORK POWER AUTHORITY","12242945","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9985100","N","12647.81","GOV/NYC/068","Yes","78000","4076.28","152","1672","6899.53"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 09","INTERVAL",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786891","N","1496.8","GOV/NYC/068","Yes","0","0","127.68","1496.8","0"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 05","AMR",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786430","N","7929.05","GOV/NYC/068","Yes","72640","3667.51","0","0","4261.54"
"BUSHWICK II (GROUPS A & C)","BROOKLYN","BUSHWICK II (GROUPS A & C)","BLD 22","AMR","BLD 22","302","565","K030200","FEDERAL","NY005012470P","NEW YORK POWER AUTHORITY","12243783","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4352009","N","954.19","GOV/NYC/062","Yes","2790","218.88","0","0","735.31"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 07","INTERVAL",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786862","N","1376.4","GOV/NYC/068","Yes","0","0","117.41","1376.4","0"
"COOPER PARK","BROOKLYN","COOPER PARK","BLD 10","INTERVAL",,"69","223","K006900","FEDERAL","NY005000690P","NEW YORK POWER AUTHORITY","12243543","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1784563","N","896.1","GOV/NYC/068","Yes","0","0","38.4","422.4","473.7"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 05","INTERVAL",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786430","N","1653.18","GOV/NYC/068","Yes","0","0","141.02","1653.18","0"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 10","INTERVAL",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786893","N","1637.47","GOV/NYC/068","Yes","0","0","139.68","1637.47","0"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 06","INTERVAL",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787492","N","1427.04","GOV/NYC/068","Yes","0","0","121.73","1427.04","0"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 08","INTERVAL",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786892","N","1322.36","GOV/NYC/068","Yes","0","0","112.8","1322.36","0"
"AMSTERDAM","MANHATTAN","AMSTERDAM","BLD 12","AMR",,"22","530","M002200","FEDERAL","NY005010220P","NEW YORK POWER AUTHORITY","12243391","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2784463","N","2557.94","GOV/NYC/068","Yes","23600","1192.8","0","0","1365.14"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 07","INTERVAL",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786894","N","1631.85","GOV/NYC/068","Yes","0","0","139.2","1631.85","0"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 03","INTERVAL",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786918","N","1389.88","GOV/NYC/068","Yes","0","0","118.56","1389.88","0"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 04","INTERVAL",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786915","N","2338.04","GOV/NYC/068","Yes","0","0","199.44","2338.04","0"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 01","INTERVAL",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786916","N","1472.06","GOV/NYC/068","Yes","0","0","125.57","1472.06","0"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 07","AMR",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786862","N","7667.07","GOV/NYC/068","Yes","70240","3546.33","0","0","4120.74"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 09","AMR",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786891","N","6881.15","GOV/NYC/068","Yes","63040","3182.81","0","0","3698.34"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 08","AMR",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786892","N","7317.78","GOV/NYC/068","Yes","67040","3384.77","0","0","3933.01"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 10","AMR",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786893","N","8383.14","GOV/NYC/068","Yes","76800","3877.54","0","0","4505.6"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 01","AMR",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786916","N","8575.25","GOV/NYC/068","Yes","78560","3966.4","0","0","4608.85"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 02","AMR",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786917","N","7911.59","GOV/NYC/068","Yes","72480","3659.43","0","0","4252.16"
