"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_kwh","kwh_charges","consumption_kw","kw_charges","other_charges"
"HIGHBRIDGE GARDENS","BRONX","HIGHBRIDGE GARDENS","BLD 05","INTERVAL",,"78","229","B007800","FEDERAL","NY005000780P","NEW YORK POWER AUTHORITY","12243050","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1790132","N","5050.49","GOV/NYC/068","Yes","0","0","217.44","2391.84","2658.65"
"FENIMORE-LEFFERTS","BROOKLYN","FENIMORE-LEFFERTS","BLD 16","NONE",,"205","322","K020500","FEDERAL","NY005011670P","NEW YORK POWER AUTHORITY","12243713","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4121228","N","90.7","GOV/NYC/062","Yes","264","20.71","0","0","69.99"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 23","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790002","N","3291.16","GOV/NYC/068","Yes","31200","1574.33","0","0","1716.83"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 07","INTERVAL",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787717","N","1096.91","GOV/NYC/068","Yes","0","0","89.18","1096.91","0"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 13","AMR",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787718","N","5160.11","GOV/NYC/068","Yes","48000","2422.07","0","0","2738.04"
"HUGHES APARTMENTS","BROOKLYN","HUGHES APARTMENTS","BLD 03","NONE",,"168","275","K016800","FEDERAL","NY005011680P","NEW YORK POWER AUTHORITY","12243681","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4241584","N","13357.85","GOV/NYC/068","Yes","85200","4452.55","156","1716","7189.3"
"BUSHWICK II (GROUPS A & C)","BROOKLYN","BUSHWICK II (GROUPS A & C)","BLD 08","NONE","BLD 08","302","565","K030200","FEDERAL","NY005012470P","NEW YORK POWER AUTHORITY","12243779","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2810411","Y","190.01","GOV/NYC/062","Yes","1818","142.62","0","0","47.39"
"FENIMORE-LEFFERTS","BROOKLYN","FENIMORE-LEFFERTS","BLD 13","AMR",,"205","322","K020500","FEDERAL","NY005011670P","NEW YORK POWER AUTHORITY","12243710","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","7995356","N","111.41","GOV/NYC/062","Yes","326","25.57","0","0","85.84"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 09","INTERVAL",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787705","N","987.19","GOV/NYC/068","Yes","0","0","80.26","987.19","0"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 04","INTERVAL",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787711","N","1122.99","GOV/NYC/068","Yes","0","0","91.3","1122.99","0"
