"site_id","planned_kiosk_type","installation_status_","ppt_id","legacy_id","borough","council_district","cb","final_submission_a_","gf_permit_appl_id","gf_doitt_submitted_to_cb_a","gf_cb_comment_period_ends_a","street_address","cross_street_1","cross_street_2","ixn_code","postcode","zoningnumb","longitude","latitude","greenfield_in_bid_location","bid","historic_district","historic_district_name","neighborhood_tabulation_area_nta","bin","bbl","census_tract","location_1"
"QU-03-155735","LINK5G_Ad","Installed",,"LINK-020945","Queens","25","403","2022-03-08T00:00:00.000","90200","2022-05-13T00:00:00.000",,"87-10 NORTHERN BOULEVARD","Northern Boulevard","34th Avenue","W","11372","C1-2","-73.8798207","40.7559636","No",,"0",,"Jackson Heights",,"4014350001",,"(40.7559636, -73.8798207)"
"QU-14-GF44685","LINK5G_Ad","PreCx",,,"Queens","31","414","2022-11-17T00:00:00.000","90458","2023-01-04T00:00:00.000",,"71-02 BEACH CHANNEL DRIVE","AMSTEL BOULEVARD","BEACH 72 STREET","West","11692","C8-1","-73.7998812","40.5923583","No",,"0",,"Hammels-Arverne-Edgemere",,"4160760001","QU-954","(40.5923583, -73.7998812)"
"QU-13-GF44801","LINK5G_Ad","PreCx",,,"Queens","23","413","2022-08-09T00:00:00.000","90231","2022-11-16T00:00:00.000",,"260-03 HILLSIDE AVENUE","260th ST","261st ST","N","11004","R3-2 / C1-3","-73.7081442","40.737472","No",,"0",,"Glen Oaks-Floral Park-New Hyde Park","4179429","4087720156","qu-1579.02","(40.737472, -73.7081442)"
"MN-12-120591","LINK5G_Ad","PreCx","120591","LINK-011330","Manhattan","10","112","2022-09-23T00:00:00.000","90311","2022-10-18T00:00:00.000",,"2178 AMSTERDAM AVENUE","W 168 STREET","W 167 STREET","W","10032","C2-4","-73.9371103","40.8397902","No",,"0",,"Washington Heights South","1000000","1021230094","1024900","(40.8397902, -73.9371103)"
"BK-04-GF34578","LINK5G_NonAd","PreCx",,,"Brooklyn","34","304","2022-10-28T00:00:00.000","90437","2023-01-04T00:00:00.000",,"908 FLUSHING AVENUE","FLUSHING AVENUE","MONTIETH STREET","W","11206","C2-4","-73.9353242","40.7021363","No",,"0",,"Bushwick South",,"3031390021","391","(40.7021363, -73.9353242)"
"BK-04-GF34693","LINK5G_Ad","PreCx",,,"Brooklyn","34","304","2022-11-17T00:00:00.000","90442","2023-01-04T00:00:00.000",,"586 HART STREET","EVERGREEN AVENUE","MYRTLE AVENUE","S","11221","C2-3","-73.9286668","40.6972342","No",,"0",,"Bushwick South","3814523","3032270007","BK-423","(40.6972342, -73.9286668)"
"MN-03-138887","LINK5G_Ad","Ready for PreCx","138887","80061","Manhattan","2","103","2023-02-10T00:00:00.000",,,,"57 AVENUE A","EAST 4 STREET","EAST 3 STREET","E","10009","C2-5","-73.985023","40.7241667","No",,"0",,"East Village","1005761","1003990008","1003200","(40.7241667, -73.985023)"
"QU-12-154374","LINK5G_Ad","Live",,,"Queens","28","412","2021-10-08T00:00:00.000","90080","2021-10-28T00:00:00.000","2021-12-27T00:00:00.000","153-21 ROCKAWAY BOULEVARD","ROCKAWAY BOULEVARD","135TH AVENUE","S","11434","C2-2","-73.7829113","40.6701549","Yes","Greater JFK","0",,"Springfield Gardens North",,"4122920001","QN-294","(40.6701549, -73.7829113)"
"BK-06-GF34903","LINK5G_NonAd","PreCx",,,"Brooklyn","38","306","2022-08-09T00:00:00.000","90316","2023-01-04T00:00:00.000",,"84 BEARD STREET","BEARD STREET","VAN DYKE STREET","E","11231","M1-2","-74.0136956","40.6741868","No",,"0",,"Carroll Gardens-Columbia Street-Red Hook","3008860","3006050001","bk-53","(40.6741868, -74.0136956)"
"MN-08-GF0925","LINK5G_NonAd","Planning",,,"Manhattan","4","108","2022-08-09T00:00:00.000","90360","2022-11-16T00:00:00.000",,"1283 YORK AVENUE","EAST 68TH STREET","EAST 69TH STREET",,"10065","R10","-73.955641","40.7644346","No",,"0",,"Lenox Hill-Roosevelt Island","1090254","1014630021","mn-116","(40.7644346, -73.955641)"
"QU-12-GF44594","LINK5G_Ad","PreCx",,,"Queens","27","412","2022-11-17T00:00:00.000","90450","2023-01-04T00:00:00.000",,"187-17 JAMAICA AVENUE","187 Place","188 St","N","11423","C2-4","-73.7716169","40.7104541","No",,"0",,"Jamaica",,"4099090001","480","(40.7104541, -73.7716169)"
"BK-14-GF34846","LINK5G_Ad","Planning",,,"Brooklyn","40","314","2022-05-13T00:00:00.000",,,,"510 OCEAN AVENUE","OCEAN AVENUE","ST PAULS PLACE","North","11226","C2-4","-73.9612236","40.6501159","Yes","Church Avenue BID","0",,,"3116542","3050800068","BK-508.01","(40.6501159, -73.9612236)"
