"link_site_id","planned_kiosk_type","link_installation_status","smallest_ppt","cb_link_id","boro","council_district","community_board","street_address","cross_street_1","cross_street_2","ixn_corner","postcode","zoning","latitude","longitude","link_installation","link_smoke_tested_and_activated_a","neighborhood_tabulation_area_nta","building_identification_number_bin","borough_block_lot_bbl","census_tract_ct","location"
"mn-12-120463","LINK1.0","Live","120463","mn-12-120463","Manhattan","7","112","1941 AMSTERDAM AVENUE","WEST 156 STREET","WEST 157 STREET","NE","10032","C2-4","40.832283000000000","-73.942327000000000","2016-07-13T00:00:00.000","2016-07-20T00:00:00.000","Washington Heights South","1062490","1021070059","1023900","(40.832283, -73.942327)"
"bk-01-146006","LINK1.0","Live","146006","LINK-021233","Brooklyn","34","301","175 GRAND STREET","BEDFORD AVENUE","DRIGGS AVENUE","NE","11211","C2-4","40.714497710000000","-73.961095500000000","2017-11-30T00:00:00.000","2018-02-01T00:00:00.000","North Side-South Side","3062647","3023810035","3055300","(40.71449771, -73.9610955)"
"mn-07-121221","LINK1.0","Live","121221","mn-07-121221","Manhattan","6","107","2182 BROADWAY","WEST 77 STREET","WEST 78 STREET","NE","10024","C4-6A","40.782528080000000","-73.980586290000000","2016-05-25T00:00:00.000","2016-06-27T00:00:00.000","Upper West Side","1088838","1011690016","1016300","(40.78252808, -73.98058629)"
"mn-03-123294","LINK1.0","Live","123294","mn-03-123294","Manhattan","2","103","150 EAST 4 STREET","1 AVENUE","AVENUE A","SE","10009","C2-5","40.725003550000000","-73.987039480000000","2018-03-10T00:00:00.000","2018-05-17T00:00:00.000","East Village","1005760","1004310014","1003200","(40.72500355, -73.98703948)"
"bk-06-125930","LINK1.0","Live","125930","bk-06-125930","Brooklyn","39","306","168 5 AVENUE","DEGRAW STREET","SACKETT STREET","SW","11217","C1-4","40.677619610000000","-73.979737990000000","2017-02-24T00:00:00.000","2017-04-03T00:00:00.000","Park Slope-Gowanus","3019560","3009490044","3013100","(40.67761961, -73.97973799)"
"mn-09-134377","LINK1.0","Live","134377","mn-09-134377","Manhattan","7","109","2868 BROADWAY","WEST 111 STREET","WEST 112 STREET","MIDBLOCK","10025","C1-4","40.804959150000000","-73.965902500000000","2017-07-18T00:00:00.000","2017-08-18T00:00:00.000","Morningside Heights","1075433","1018837501","1019900","(40.80495915, -73.9659025)"
"qu-01-125165","LINK1.0","Live","125165","qu-01-125165","Queens","22","401","37-02 ASTORIA BOULEVARD SOUTH","37 STREET","38 STREET","SE","11103","C2-3","40.769095520000000","-73.912837000000000","2018-06-14T00:00:00.000","2019-01-15T00:00:00.000","Astoria","4010183","4006530043","4006502","(40.76909552, -73.912837)"
"mn-05-122200","LINK1.0","Live","122200","mn-05-122200","Manhattan","4","105","7 WEST 48 STREET","5 AVENUE","6 AVENUE","NW","10020","C5-3","40.757406800000000","-73.978258290000000","2017-02-11T00:00:00.000","2017-10-20T00:00:00.000","Midtown-Midtown South","1034506","1012640030","1009600","(40.7574068, -73.97825829)"
"mn-02-128511","LINK1.0","Live","128511","mn-02-128511","Manhattan","3","102","74 8 AVENUE","WEST 14 STREET","GREENWICH AVENUE","SE","10011","C6-2A","40.739447470000000","-74.002599980000000","2016-03-11T00:00:00.000","2016-04-15T00:00:00.000","West Village","1080215","1006180005","1007700","(40.73944747, -74.00259998)"
"mn-12-120345","LINK1.0","Live","120345","SC90234","Manhattan","7","112","845 RIVERSIDE DRIVE","RIVERSIDE DRIVE WEST","RIVERSIDE DRIVE EAST",,"10032","R8","40.8360182","-73.9474466","2022-10-08T00:00:00.000","2022-12-05T00:00:00.000","Washington Heights South","1063278","1021340206","1024100","(40.8360182, -73.9474466)"
"bx-02-157103","LINK1.0","Live","157103",,"Bronx","17","202","995 WESTCHESTER AVENUE","E 165TH STREET","WESTCHESTER AVENUE","SW","10459","C1-4","40.8238585","-73.8939601","2022-07-01T00:00:00.000","2022-09-19T00:00:00.000","Longwood",,"2027150049",,"(40.8238585, -73.8939601)"
"mn-09-120436","LINK1.0","Live","120436","mn-09-120436","Manhattan","7","109","3560 BROADWAY","WEST 146 STREET","WEST 147 STREET","NE","10031","C1-4","40.827117000000000","-73.949738000000000","2016-11-02T00:00:00.000","2016-12-14T00:00:00.000","Hamilton Heights","1081831","1020780001","1023300","(40.827117, -73.949738)"
"bk-17-126292","LINK1.0","Live","126292","bk-17-126292","Brooklyn","41","317","3923 CHURCH AVENUE","EAST 40 STREET","EAST 39 STREET","NW","11203","C2-2","40.651341000000000","-73.940166000000000","2018-02-26T00:00:00.000","2018-07-24T00:00:00.000","East Flatbush-Farragut","3108908","3048760033","3081400","(40.651341, -73.940166)"
"bk-02-126565","LINK1.0","Live","126565","bk-02-126565","Brooklyn","35","302","605 FULTON STREET","FLATBUSH AVENUE EXTENSION","HUDSON STREET","NE","11201","C6-4","40.688851000000000","-73.980613000000000","2016-11-13T00:00:00.000","2017-01-20T00:00:00.000","Fort Greene","3058594","3020930001","3003300","(40.688851, -73.980613)"
"bx-05-116218","LINK1.0","Live","116218","bx-05-116218","Bronx","15","205","2461 WEBSTER AVENUE","EAST 188 STREET","EAST 189 STREET","MIDBLOCK","10458","C2-4","40.860214670000000","-73.893059440000000","2016-05-12T00:00:00.000","2016-05-25T00:00:00.000","Bedford Park-Fordham North","2011078","2030260059","2039902","(40.86021467, -73.89305944)"
"bk-07-125917","LINK1.0","Live","125917","bk-07-125917","Brooklyn","38","307","620 5 AVENUE","17 STREET","18 STREET","NW","11215","C2-4","40.663550070000000","-73.991245620000000","2017-09-23T00:00:00.000","2018-01-16T00:00:00.000","Park Slope-Gowanus","3009000","3006310046","3014300","(40.66355007, -73.99124562)"
"bx-04-119157","LINK1.0","Live","119157","BX-04-119157","Bronx","16","204","96 EAST 170 STREET","WALTON AVENUE","WYTHE PLACE","SE","10452","C4-4","40.839445000000000","-73.915848000000000","2016-06-09T00:00:00.000","2016-09-15T00:00:00.000","West Concourse","2008083","2028420042","2022102","(40.839445, -73.915848)"
"mn-04-123501","LINK1.0","Live","123501","mn-04-123501","Manhattan","3","104","232 8 AVENUE","WEST 22 STREET","WEST 21 STREET","SE","10011","C1-6A","40.744403000000000","-73.998993000000000","2016-03-11T00:00:00.000","2016-04-07T00:00:00.000","Hudson Yards-Chelsea-Flatiron-Union Square","1014099","1007710075","1008700","(40.744403, -73.998993)"
