"dispatching_base_num","pickup_datetime","dropoff_datetime","pulocationid","dolocationid","sr_flag"
"B02914","2017-10-15T02:31:27.000","2017-10-15 02:55:56",,,
"B02914","2017-10-15T02:08:23.000","2017-10-15 02:32:28",,,
"B02914","2017-10-15T02:06:22.000","2017-10-15 02:23:06",,,
"B02914","2017-10-15T02:38:36.000","2017-10-15 02:59:15",,,
"B02914","2017-10-15T02:33:08.000","2017-10-15 02:37:27",,,
"B02914","2017-10-15T02:06:58.000","2017-10-15 02:40:45",,,
"B02914","2017-10-15T02:03:28.000","2017-10-15 02:20:11",,,
"B02914","2017-10-15T02:27:14.000","2017-10-15 02:37:39",,,
"B02914","2017-10-15T02:11:41.000","2017-10-15 02:19:26",,,
"B02884","2017-10-15T02:02:20.000","2017-10-15 02:23:49","186","226",
"B02884","2017-10-15T02:27:45.000","2017-10-15 02:39:32","226","157",
"B02884","2017-10-15T02:55:24.000","2017-10-15 03:05:42","83","28",
"B02884","2017-10-15T02:27:46.000","2017-10-15 02:42:39","114","265",
"B02884","2017-10-15T02:10:05.000","2017-10-15 02:24:35","79","68",
"B02884","2017-10-15T02:32:14.000","2017-10-15 02:44:07","249","79",
"B02884","2017-10-15T02:46:48.000","2017-10-15 03:04:59","79","162",
"B02884","2017-10-15T02:21:58.000","2017-10-15 02:37:42","158","79",
"B02884","2017-10-15T02:46:49.000","2017-10-15 03:16:51","79","265",
"B02884","2017-10-15T02:02:38.000","2017-10-15 02:37:55","107","225","1"
"B02884","2017-10-15T02:43:07.000","2017-10-15 02:49:32","17","17",
"B02888","2017-10-15T02:16:47.000","2017-10-15 02:28:42","52","181",
"B02888","2017-10-15T02:33:52.000","2017-10-15 02:44:43","106","227",
"B02888","2017-10-15T02:13:58.000","2017-10-15 02:38:47","255","163",
"B02888","2017-10-15T02:51:50.000","2017-10-15 02:53:27","164","234",
"B02888","2017-10-15T02:58:51.000","2017-10-15 03:22:33","113","167",
"B02888","2017-10-15T02:50:39.000","2017-10-15 03:09:50","78","95",
"B02888","2017-10-15T02:22:29.000","2017-10-15 02:33:54","107","68",
"B02888","2017-10-15T02:59:32.000","2017-10-15 03:26:13","148","170","1"
"B02888","2017-10-15T02:23:56.000","2017-10-15 02:38:10","256","181",
"B02888","2017-10-15T02:13:12.000","2017-10-15 02:41:52","161","64",
"B02888","2017-10-15T02:35:07.000","2017-10-15 02:45:00","158","113",
"B02914","2017-10-15T02:09:24.000","2017-10-15 02:21:06",,,
"B02914","2017-10-15T02:03:10.000","2017-10-15 02:16:39",,,
"B02914","2017-10-15T02:13:48.000","2017-10-15 02:28:37",,,
"B02914","2017-10-15T02:59:22.000","2017-10-15 03:03:11",,,
